Search ID,Source/database,Exact search string,Search date,Reported total hits,Hits captured,Number screened,Number retained,Notes
S01,Web search / publisher indexes,"""Na2NbOF5"" (MLIP OR MLMD OR ""machine-learning force field"" OR ""neural network potential"")",2026-09-23,NR (interface did not expose total hit count),4,4,0,"Captured-hit counts are auditable, not database-total counts."
S02,Web search / publisher indexes,"""Na2NbOF5"" (DeepMD OR ""Deep Potential"" OR MACE OR CHGNet OR M3GNet OR GAP)",2026-09-23,NR (interface did not expose total hit count),3,3,0,"Captured-hit counts are auditable, not database-total counts."
S03,Web search / publisher indexes,"""Na2NbOF5"" ""machine learning"" potential",2026-09-23,NR (interface did not expose total hit count),3,3,0,"Captured-hit counts are auditable, not database-total counts."
S04,Web search / publisher indexes,"""Na2NbOF5"" sodium diffusion AIMD conductivity",2026-09-23,NR (interface did not expose total hit count),7,7,3,"Captured-hit counts are auditable, not database-total counts."
S05,Web search / publisher indexes,"""Na2NbOF5"" molecular dynamics disorder conductivity",2026-09-23,NR (interface did not expose total hit count),6,6,2,"Captured-hit counts are auditable, not database-total counts."
S06,Web search / publisher indexes,"""Na2NbOF5"" (Haven ratio OR collective diffusion OR correlated hopping OR Nernst-Einstein)",2026-09-23,NR (interface did not expose total hit count),2,2,0,"Captured-hit counts are auditable, not database-total counts."
S07,Web search / publisher indexes,"""Na2NbOF5"" (defects OR vacancies OR supercell OR disorder)",2026-09-23,NR (interface did not expose total hit count),6,6,2,"Captured-hit counts are auditable, not database-total counts."
S08,Web search / publisher indexes,"""Na2NbOF5"" ""classical potential""",2026-09-23,NR (interface did not expose total hit count),2,2,0,"Captured-hit counts are auditable, not database-total counts."
S09,Crossref / DOI resolver,10.1016/j.jpcs.2026.113889; 10.1007/s10008-025-06205-4; candidate contextual DOIs,2026-09-23,NR (interface did not expose total hit count),9,9,9,"Captured-hit counts are auditable, not database-total counts."
S10,arXiv,(sodium OR Na) AND (MLIP OR MLMD) AND (diffusion OR conductivity),2026-09-23,NR (interface did not expose total hit count),8,8,3,"Captured-hit counts are auditable, not database-total counts."
S11,Publisher indexes,(sodium solid electrolyte OR superionic conductor) AND machine-learning interatomic potential AND transport,2026-09-23,NR (interface did not expose total hit count),10,10,5,"Captured-hit counts are auditable, not database-total counts."
S12,ITA / institutional repositories,"""Filipe Matusalém"" (machine learning potential OR superionic OR CaF2 OR water ice)",2026-09-23,NR (interface did not expose total hit count),8,8,4,"Captured-hit counts are auditable, not database-total counts."
