Record ID,Citation,Year,Material/system,Mobile ion,MLIP architecture,Training-data source,DFT method,Training-set size,Simulation cell size,Trajectory length,Temperature range,Disorder/defects represented?,Transport observable,MSD,Tracer diffusion,Collective diffusion,Ionic conductivity,Haven ratio/correlation factor,Activation energy,Transport dimensionality,Main finding,Limitations,Relevance,Source URL
R01,"Morkhova et al., JPCS 218, 113889",2026,Na2NbOF5,Na+,None (AIMD),N/A,PBE; plane-wave cutoff 600 eV,N/A,Disorder-representing supercells; exact atom count awaiting supplied full text,20 or 30 ps,300 K,Yes; O/F disorder represented,AIMD diffusion and Nernst-Einstein conductivity,Yes,D≈7.1×10^-8 cm2 s^-1,Not confirmed,≈6.6×10^-3 S cm^-1,Not confirmed,NR,2D,Short AIMD predicts fast 2D Na transport,Full text was not supplied; settings here are from user-provided paper notes plus accessible metadata. Experimental pellet is non-intrinsic.,Primary material baseline,https://doi.org/10.1016/j.jpcs.2026.113889
R03,"Orlova et al., J Solid State Electrochem 29, 3043–3050",2025,Six mixed polyanionic oxohalides incl. Na2NbOF5,Na+,None,N/A,DFT reported; verify exact settings in full text,N/A,NR,Kinetic Monte Carlo rather than MD trajectory,Standard conditions and screening range,Crystal structures screened,BVSE barriers; kMC conductivity; vacancy formation,No,No,No,Predicted >10^-3 S cm^-1 for Na2NbOF5,No,Migration barriers reported (<0.5 eV in accessible summary),2D for Na2NbOF5,Identified Na2NbOF5 as strongest screening candidate,Screening-level approximations; not long-timescale atomistic MLMD,"Establishes prior discovery route, prevents novelty claim based on material alone",https://doi.org/10.1007/s10008-025-06205-4
R06,"He, Chen & Lai",2023,P2/O3 Na2x[NixTi1-x]O2,Na+,Neural-network MLIP,DFT-labelled configurations,NR in accessible record,NR,Large MLMD cells; exact values require full paper,Long MLMD; exact values require full paper,Temperature series,Composition/configuration variation,"MSD, conductivity, residence/jumps, incoherent density correlations",Yes,Yes,Yes/transport correlations,Yes,Yes; values below unity reported,Yes,Layered / anisotropic,Shows correlated Na motion can invalidate simple independent-ion assumptions,Preprint record; different electrode material,"Closest transport-analysis comparator; same methods, different physical system",https://doi.org/10.2139/ssrn.4431516
R07,Miyagawa et al.,2024,AgI; Na3SbS4; Li10GeP2S12,Ag+/Na+/Li+,On-the-fly VASP MLFF,On-the-fly DFT,PBE reported,System-dependent,System-dependent,Longer than AIMD; system-dependent,Multiple temperatures,Disorder/defects represented where relevant,Diffusion and concerted migration,Yes,Yes,Material-dependent,Material-dependent,Material-dependent,Yes,Material-dependent,MLMD reproduces ion migration across representative conductors,No Na2NbOF5; transferability remains system-specific,Supports feasibility but not exact-material novelty,https://arxiv.org/abs/2401.11244
R08,Aghoghovbia et al.,2026,Li/Na superionic conductors,Li+/Na+,CHGNet; EquiformerV2; MatterSim; SevenNet; MACE,Universal pretrained models,Model-dependent,N/A / pretrained,Benchmark systems,Transport trajectories,Temperature-dependent,Structure-dependent,Ion transport benchmarking,Yes,Yes,Varies,Yes,Varies,Yes,Varies,Force accuracy alone does not guarantee accurate transport,Universal models require transport-specific validation,Key warning against unvalidated zero-shot MLMD,https://doi.org/10.1002/aidi.70143
R09,Materials Horizons sodium-superionic survey,2025,921 sodium structures,Na+,Universal MLIP,Pretrained plus database structures,Model-dependent,N/A / pretrained,High-throughput cells,Screening trajectories,High-temperature / screening conditions,Broad structural diversity,Diffusivity and lattice dynamics descriptors,Yes,Yes,No explicit exact-material result located,Screening-level,No exact-material result located,Screening-level,3D/varied,Maps general signatures of Na superionic behavior,Breadth rather than convergence/correlation depth,Shows methodology is becoming routine; does not answer Na2NbOF5 question,https://doi.org/10.1039/D5MH01176K
R10,Neural-network solid-electrolyte diffusion study,2019,Solid-state electrolytes,Li+/Na+ depending system,Deep Potential,AIMD/DFT-labelled data,System-dependent,Reported in paper,Larger than AIMD,Long MLMD,Temperature series,System-dependent,Diffusion,Yes,Yes,NR,Derived,NR,Yes,System-dependent,Demonstrates training and validation requirements for diffusion,Different systems,Method-development comparator,https://arxiv.org/abs/1910.10090
R11,npj Computational Materials MLIP data-efficiency study,2026,Ion-conducting benchmarks,Mobile ions vary,MACE / foundation-model route,Ab initio labelled subsets,Reported per benchmark,Varies,Varies,Transport trajectories,Varies,Varies,Diffusion,Yes,Yes,NR,Derived,NR,Yes,Varies,Data efficiency does not remove need to validate diffusion,No Na2NbOF5 result,Informs training design and error controls,https://www.nature.com/articles/s41524-026-02023-y
R13,"Ramos & Matusalém, EFITA abstract",2025,CaF2,F-,DeePMD-kit neural-network potential,"AIMD positions, forces and energies",DFT/AIMD; exact functional NR in abstract,NR,96 atoms,25 ps training trajectories,1000–1600 K,Superionic phase behavior,Potential development for large systems/phase transitions,NR,NR,NR,NR,NR,NR,Fluoride superionic,Public evidence of MLIP work on CaF2,Conference abstract only; not Na2NbOF5,Adjacent methodological overlap,https://www.efita.ita.br/wp-content/uploads/2025/07/2025-07-31-Anais_do_XVIII_EFITA.pdf
R14,"Matusalém et al., superionic water ice",2022,Superionic water ice,Protons/oxygen framework,Deep Potential,DFT-labelled data,Reported in associated paper,Public dataset,Large MLMD systems,Longer-scale deformation MD,High-pressure/high-temperature,Superionic phase,Mechanical response and phase behavior,NR,NR,NR,NR,NR,NR,Superionic phase,MLIP enables deformation study beyond DFT scale,Different chemistry and question,"Adjacent methodology, no direct material/problem overlap",https://doi.org/10.5281/zenodo.6518808
