Record ID,Title,Authors,Year,Venue,DOI,URL,Scope,Title/abstract decision,Reason / role,Full-text decision
R01,A new sodium-ion conductor Na2NbOF5: Ab initio calculations and electrochemical testing,Morkhova et al.,2026,Journal of Physics and Chemistry of Solids,10.1016/j.jpcs.2026.113889,https://doi.org/10.1016/j.jpcs.2026.113889,Exact material,Include,Primary evidence,Include
R02,A New Sodium-Ion Conductor Na2NbOF5: Ab Initio Calculations and Electrochemical Testing,Morkhova et al.,2026,SSRN,10.2139/ssrn.6481875,https://doi.org/10.2139/ssrn.6481875,Exact material,Exclude,Duplicate publication / preprint of R01,Not assessed
R03,Hierarchical screening of ICSD to search for new high-conductive solid-state materials among mixed polyanionic oxohalides for sodium-ion batteries,Orlova et al.,2025,Journal of Solid State Electrochemistry,10.1007/s10008-025-06205-4,https://doi.org/10.1007/s10008-025-06205-4,Exact material,Include,Primary precursor study,Include
R04,Na2NbOF5:Mn4+ red-emitting phosphor study,Authors in source record,2021,Materials,NR,https://pubmed.ncbi.nlm.nih.gov/34576541/,Exact material / different outcome,Exclude,Unrelated ion transport; no MLIP,Not assessed
R05,Earlier synthesis/structure study of Na2NbOF5,NR,NR,Structural literature,NR,NR,Exact material / structure,Exclude,No molecular dynamics; unrelated transport,Not assessed
R06,Computational Study of Na Diffusion and Conduction in P2- and O3-Na2x[NixTi1-x]O2 Materials with Machine-Learning Interatomic Potentials,He; Chen; Lai,2023,SSRN,10.2139/ssrn.4431516,https://doi.org/10.2139/ssrn.4431516,Contextual sodium MLIP,Include,Method comparator,Include
R07,Accurate Description of Ion Migration in Solid-State Ion Conductors from Machine-Learning Molecular Dynamics,Miyagawa et al.,2024,arXiv,10.48550/arXiv.2401.11244,https://arxiv.org/abs/2401.11244,Contextual MLMD,Include,Method comparator,Include
R08,Probing Machine Learning Interatomic Potentials on Ion Transport Properties,Aghoghovbia et al.,2026,Advanced Intelligent Discovery,10.1002/aidi.70143,https://doi.org/10.1002/aidi.70143,Contextual benchmark,Include,Validation comparator,Include
R09,Machine-learning-assisted discovery of lattice dynamics signatures of sodium superionic conductors,Authors in source,2025,Materials Horizons,10.1039/D5MH01176K,https://doi.org/10.1039/D5MH01176K,Contextual sodium MLIP,Include,Landscape comparator,Include
R10,Simulating diffusion properties of solid-state electrolytes via a neural network potential: Performance and training scheme,Authors in source,2019,arXiv,10.48550/arXiv.1910.10090,https://arxiv.org/abs/1910.10090,Contextual MLIP,Include,Method comparator,Include
R11,Constructing machine learning interatomic potentials with minimum amount of ab initio data,Authors in source,2026,npj Computational Materials,10.1038/s41524-026-02023-y,https://www.nature.com/articles/s41524-026-02023-y,Contextual MLIP,Include,Validation comparator,Include
R12,General review of artificial intelligence in batteries,NR,2024,Review,NR,NR,Broad review,Include,Potential context,Exclude: review only / insufficient methodological relevance
R13,Desenvolvimento de um potencial interatômico baseado em redes neurais para o fluoreto superiônico CaF2,Ramos; Matusalém,2025,XVIII EFITA proceedings,NR,https://www.efita.ita.br/wp-content/uploads/2025/07/2025-07-31-Anais_do_XVIII_EFITA.pdf,Professor overlap,Include,Supplementary public evidence,Include
R14,Plastic Deformation of Superionic Water Ices / Deep Potential dataset,Matusalém et al.,2022,PNAS / Zenodo,10.5281/zenodo.6518808,https://doi.org/10.5281/zenodo.6518808,Professor overlap,Include,Supplementary public evidence,Include
